series,n_tickers,n_snaps,n_two_sided,frac_two_sided,avg_spread,avg_top_notional
KXBTCD,7212,1423460,943553,0.6628588088179507,0.0108283080236123,2472.41654575981
KXBTC,6702,1180312,846823,0.7174569096984527,0.028459752170436697,181.1975972672833
KXSOLD,10732,1422593,524214,0.36849190175967406,0.025284310586630394,1134.5677413235858
KXETHD,9548,1418758,450036,0.31720420254899,0.01655415771527999,1700.7987827578513
KXXRPD,10257,1395064,259061,0.18569829054437645,0.03131351460254197,894.1293686655654
KXDOGED,9929,1215656,57501,0.04730038760965273,0.07286882498399445,891.0109745478741
