ticker,series,strategy,yes_ask,entry_price,pnl
KXBTCD-26JUL3116-T62999.99,KXBTCD,lotto_yes,0.2,0.2,-0.2112
KXBTCD-26JUL3116-T62799.99,KXBTCD,fav_yes,0.97,0.97,0.027963000000000026
KXBTCD-26JUL3115-T63099.99,KXBTCD,fade_no,0.04,0.97,0.027963000000000026
KXBTCD-26JUL3115-T63099.99,KXBTCD,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTCD-26JUL3115-T62899.99,KXBTCD,fav_yes,0.82,0.82,0.16966800000000004
KXBTCD-26JUL3114-T63099.99,KXBTCD,fade_no,0.11,0.9,-0.9063
KXBTCD-26JUL3114-T63099.99,KXBTCD,lotto_yes,0.11,0.11,0.883147
KXBTCD-26JUL3114-T62899.99,KXBTCD,fav_yes,0.89,0.89,0.10314699999999999
KXBTCD-26JUL3113-T62899.99,KXBTCD,fade_no,0.07,0.94,0.056052000000000046
KXBTCD-26JUL3113-T62899.99,KXBTCD,lotto_yes,0.07,0.07,-0.07455700000000001
KXBTCD-26JUL3112-T62799.99,KXBTCD,fade_no,0.13,0.88,0.112608
KXBTCD-26JUL3112-T62799.99,KXBTCD,lotto_yes,0.13,0.13,-0.137917
KXBTCD-26JUL3112-T62499.99,KXBTCD,fav_yes,0.93,0.93,0.06544299999999996
KXBTCD-26JUL3111-T62999.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3111-T62999.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3111-T62899.99,KXBTCD,fade_no,0.07,0.94,0.056052000000000046
KXBTCD-26JUL3111-T62899.99,KXBTCD,lotto_yes,0.07,0.07,-0.07455700000000001
KXBTCD-26JUL3111-T62799.99,KXBTCD,fade_no,0.13,0.88,0.112608
KXBTCD-26JUL3111-T62799.99,KXBTCD,lotto_yes,0.13,0.13,-0.137917
KXBTCD-26JUL3110-T63799.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3110-T63799.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3110-T63699.99,KXBTCD,fade_no,0.05,0.96,0.03731200000000003
KXBTCD-26JUL3110-T63699.99,KXBTCD,lotto_yes,0.05,0.05,-0.053325000000000004
KXBTCD-26JUL3110-T63599.99,KXBTCD,fade_no,0.12,0.89,0.10314699999999999
KXBTCD-26JUL3110-T63599.99,KXBTCD,lotto_yes,0.12,0.12,-0.127392
KXBTCD-26JUL3109-T63799.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3109-T63799.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3109-T63699.99,KXBTCD,fade_no,0.11,0.9,0.09369999999999998
KXBTCD-26JUL3109-T63699.99,KXBTCD,lotto_yes,0.11,0.11,-0.116853
KXBTCD-26JUL3109-T63499.99,KXBTCD,fav_yes,0.89,0.89,0.10314699999999999
KXBTCD-26JUL3108-T63899.99,KXBTCD,fade_no,0.05,0.96,0.03731200000000003
KXBTCD-26JUL3108-T63899.99,KXBTCD,lotto_yes,0.05,0.05,-0.053325000000000004
KXBTCD-26JUL3107-T63699.99,KXBTCD,fav_yes,0.97,0.97,0.027963000000000026
KXBTCD-26JUL3106-T63799.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3106-T63799.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3106-T63699.99,KXBTCD,fade_no,0.15,0.86,0.13157200000000002
KXBTCD-26JUL3106-T63699.99,KXBTCD,lotto_yes,0.15,0.15,-0.15892499999999998
KXBTCD-26JUL3106-T63499.99,KXBTCD,fav_yes,0.97,0.97,0.027963000000000026
KXBTCD-26JUL3105-T63999.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3105-T63999.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3105-T63899.99,KXBTCD,fade_no,0.09,0.92,0.07484799999999996
KXBTCD-26JUL3105-T63899.99,KXBTCD,lotto_yes,0.09,0.09,-0.095733
KXBTC-26AUG0104-B63150,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26AUG0104-B63150,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26AUG0103-B63150,KXBTC,fade_no,0.05,0.96,0.03731200000000003
KXBTC-26AUG0103-B63150,KXBTC,lotto_yes,0.05,0.05,-0.053325000000000004
KXBTC-26AUG0102-B63050,KXBTC,fade_no,0.19,0.87,0.122083
KXBTC-26AUG0102-B63050,KXBTC,lotto_yes,0.19,0.19,-0.200773
KXBTC-26AUG0117-B63625,KXBTC,fade_no,0.08,0.94,0.056052000000000046
KXBTC-26AUG0117-B63625,KXBTC,lotto_yes,0.08,0.08,-0.085152
KXBTC-26AUG0117-B63125,KXBTC,fade_no,0.03,0.99,0.009307000000000008
KXBTC-26AUG0117-B63125,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26AUG0117-B62875,KXBTC,fade_no,0.05,0.99,0.009307000000000008
KXBTC-26AUG0117-B62875,KXBTC,lotto_yes,0.05,0.05,-0.053325000000000004
KXBTC-26AUG0117-B62125,KXBTC,fade_no,0.03,0.99,0.009307000000000008
KXBTC-26AUG0117-B62125,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26AUG0100-B63150,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26AUG0100-B63150,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26AUG0100-B63050,KXBTC,fade_no,0.09,0.95,0.04667500000000004
KXBTC-26AUG0100-B63050,KXBTC,lotto_yes,0.09,0.09,-0.095733
KXBTC-26AUG0100-B62950,KXBTC,fav_yes,0.8,0.8,0.18879999999999997
KXBTC-26AUG0100-B62850,KXBTC,fade_no,0.15,0.88,0.112608
KXBTC-26AUG0100-B62850,KXBTC,lotto_yes,0.15,0.15,-0.15892499999999998
KXBTC-26JUL3123-B63150,KXBTC,fade_no,0.04,0.97,0.027963000000000026
KXBTC-26JUL3123-B63150,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3123-B62850,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26JUL3123-B62850,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26JUL3122-B63050,KXBTC,fade_no,0.04,0.97,0.027963000000000026
KXBTC-26JUL3122-B63050,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3121-B63050,KXBTC,fade_no,0.1,0.92,0.07484799999999996
KXBTC-26JUL3121-B63050,KXBTC,lotto_yes,0.1,0.1,-0.1063
KXBTC-26JUL3121-B62750,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26JUL3121-B62750,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26JUL3120-B63050,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26JUL3120-B63050,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26JUL3119-B63150,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26JUL3119-B63150,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26JUL3119-B63050,KXBTC,fade_no,0.06,0.98,0.018628000000000016
KXBTC-26JUL3119-B63050,KXBTC,lotto_yes,0.06,0.06,-0.063948
KXBTC-26JUL3119-B62750,KXBTC,fade_no,0.06,0.97,0.027963000000000026
KXBTC-26JUL3119-B62750,KXBTC,lotto_yes,0.06,0.06,-0.063948
KXBTC-26JUL3118-B63150,KXBTC,fade_no,0.04,0.98,0.018628000000000016
KXBTC-26JUL3118-B63150,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3118-B62850,KXBTC,fade_no,0.16,0.87,-0.877917
KXBTC-26JUL3118-B62850,KXBTC,lotto_yes,0.16,0.16,0.830592
KXBTC-26JUL3116-B63150,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26JUL3116-B63150,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26JUL3116-B62750,KXBTC,fade_no,0.04,0.98,0.018628000000000016
KXBTC-26JUL3116-B62750,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3115-B63150,KXBTC,fade_no,0.04,0.98,0.018628000000000016
KXBTC-26JUL3115-B63150,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3115-B62850,KXBTC,fade_no,0.18,0.83,0.16012300000000004
KXBTC-26JUL3115-B62850,KXBTC,lotto_yes,0.18,0.18,-0.190332
KXBTC-26JUL3114-B63150,KXBTC,fade_no,0.1,0.92,-0.9251520000000001
KXBTC-26JUL3114-B63150,KXBTC,lotto_yes,0.1,0.1,0.8937
KXBTC-26JUL3114-B62850,KXBTC,fade_no,0.1,0.91,0.08426699999999997
KXBTC-26JUL3114-B62850,KXBTC,lotto_yes,0.1,0.1,-0.1063
KXBTC-26JUL3112-B62550,KXBTC,fade_no,0.18,0.83,0.16012300000000004
KXBTC-26JUL3112-B62550,KXBTC,lotto_yes,0.18,0.18,-0.190332
KXBTC-26JUL3112-B62450,KXBTC,fade_no,0.07,0.96,0.03731200000000003
KXBTC-26JUL3112-B62450,KXBTC,lotto_yes,0.07,0.07,-0.07455700000000001
KXBTC-26JUL3111-B63150,KXBTC,fade_no,0.04,0.98,0.018628000000000016
KXBTC-26JUL3111-B63150,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3110-B63750,KXBTC,fade_no,0.04,0.98,0.018628000000000016
KXBTC-26JUL3110-B63750,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3110-B63650,KXBTC,fade_no,0.08,0.95,0.04667500000000004
KXBTC-26JUL3110-B63650,KXBTC,lotto_yes,0.08,0.08,-0.085152
KXBTC-26JUL3109-B63750,KXBTC,fade_no,0.12,0.89,0.10314699999999999
KXBTC-26JUL3109-B63750,KXBTC,lotto_yes,0.12,0.12,-0.127392
KXBTC-26JUL3108-B63950,KXBTC,fade_no,0.05,0.97,0.027963000000000026
KXBTC-26JUL3108-B63950,KXBTC,lotto_yes,0.05,0.05,-0.053325000000000004
KXBTC-26JUL3107-B63650,KXBTC,fade_no,0.05,0.98,0.018628000000000016
KXBTC-26JUL3107-B63650,KXBTC,lotto_yes,0.05,0.05,-0.053325000000000004
KXBTC-26JUL3105-B63950,KXBTC,fade_no,0.07,0.96,0.03731200000000003
KXBTC-26JUL3105-B63950,KXBTC,lotto_yes,0.07,0.07,-0.07455700000000001
KXBTC-26JUL3105-B63750,KXBTC,fade_no,0.2,0.83,-0.839877
KXBTC-26JUL3105-B63750,KXBTC,lotto_yes,0.2,0.2,0.7888000000000001
KXBTC-26JUL3105-B63650,KXBTC,fade_no,0.12,0.92,0.07484799999999996
KXBTC-26JUL3105-B63650,KXBTC,lotto_yes,0.12,0.12,-0.127392
KXETHD-26AUG0120-T1849.99,KXETHD,fade_no,0.03,0.99,0.009307000000000008
KXETHD-26AUG0120-T1849.99,KXETHD,lotto_yes,0.03,0.03,-0.032036999999999996
KXETHD-26AUG0119-T1849.99,KXETHD,fade_no,0.06,0.97,0.027963000000000026
KXETHD-26AUG0119-T1849.99,KXETHD,lotto_yes,0.06,0.06,-0.063948
KXETHD-26AUG0118-T1849.99,KXETHD,fade_no,0.04,0.97,0.027963000000000026
KXETHD-26AUG0118-T1849.99,KXETHD,lotto_yes,0.04,0.04,-0.042688000000000004
KXETHD-26AUG0118-T1839.99,KXETHD,fav_yes,0.9,0.9,0.09369999999999998
KXETHD-26AUG0116-T1839.99,KXETHD,fade_no,0.06,0.96,0.03731200000000003
KXETHD-26AUG0116-T1839.99,KXETHD,lotto_yes,0.06,0.06,-0.063948
KXETHD-26AUG0116-T1829.99,KXETHD,fav_yes,0.91,0.91,0.08426699999999997
KXETHD-26AUG0116-T1824.99,KXETHD,fav_yes,0.97,0.97,0.027963000000000026
KXETHD-26AUG0115-T1864.99,KXETHD,fade_no,0.04,0.99,0.009307000000000008
KXETHD-26AUG0115-T1864.99,KXETHD,lotto_yes,0.04,0.04,-0.042688000000000004
