ticker,ts,side,price,pnl
KXBTC-26AUG0100-B62850,1785555760979,buy,0.22,-0.22
KXBTC-26AUG0100-B62850,1785555936137,buy,0.12,-0.12
KXBTC-26AUG0100-B62850,1785556041073,sell,0.1,0.1
KXBTC-26AUG0100-B62850,1785556076020,buy,0.11,-0.11
KXBTC-26AUG0100-B62850,1785556146213,sell,0.09,0.09
KXBTC-26AUG0100-B62850,1785556181139,sell,0.16,0.16
KXBTC-26AUG0100-B62850,1785556216378,buy,0.17,-0.17
KXBTC-26AUG0100-B62850,1785556425478,buy,0.03,-0.03
KXBTC-26AUG0100-B62850,1785556495625,sell,0.02,0.02
KXBTC-26AUG0100-B62950,1785554466287,sell,0.59,-0.41000000000000003
KXBTC-26AUG0100-B62950,1785554571033,buy,0.6,0.4
KXBTC-26AUG0100-B62950,1785554606001,buy,0.52,0.48
KXBTC-26AUG0100-B62950,1785554815986,sell,0.49,-0.51
KXBTC-26AUG0100-B62950,1785554851071,sell,0.56,-0.43999999999999995
KXBTC-26AUG0100-B62950,1785554886111,sell,0.6,-0.4
KXBTC-26AUG0100-B62950,1785555025782,buy,0.66,0.33999999999999997
KXBTC-26AUG0100-B62950,1785555305985,buy,0.64,0.36
KXBTC-26AUG0100-B62950,1785555375768,sell,0.63,-0.37
KXBTC-26AUG0100-B62950,1785555970046,sell,0.8,-0.19999999999999996
KXBTC-26AUG0100-B62950,1785556040042,buy,0.83,0.17000000000000004
KXBTC-26AUG0100-B62950,1785556109991,sell,0.83,-0.17000000000000004
KXBTC-26AUG0100-B62950,1785556145130,buy,0.84,0.16000000000000003
KXBTC-26AUG0100-B62950,1785556180077,buy,0.8,0.19999999999999996
KXBTC-26AUG0100-B62950,1785556215316,sell,0.77,-0.22999999999999998
KXBTC-26AUG0100-B62950,1785556250037,sell,0.85,-0.15000000000000002
KXBTC-26AUG0100-B62950,1785556354954,sell,0.9,-0.09999999999999998
KXBTC-26AUG0100-B62950,1785556600179,sell,0.96,-0.040000000000000036
KXBTC-26AUG0100-B63050,1785555026681,sell,0.18,0.18
KXBTC-26AUG0100-B63050,1785555306867,buy,0.18,-0.18
KXBTC-26AUG0100-B63050,1785555341642,sell,0.1,0.1
KXBTC-26AUG0100-B63050,1785555551678,sell,0.13,0.13
KXBTC-26AUG0100-B63050,1785556181007,buy,0.04,-0.04
KXBTC-26AUG0100-B63050,1785556216228,sell,0.03,0.03
KXBTC-26AUG0101-B62950,1785558002010,buy,0.62,-0.62
KXBTC-26AUG0101-B62950,1785558140842,buy,0.6,-0.6
KXBTC-26AUG0101-B62950,1785558421122,sell,0.54,0.54
KXBTC-26AUG0101-B62950,1785558666152,buy,0.56,-0.56
KXBTC-26AUG0101-B62950,1785558735776,sell,0.54,0.54
KXBTC-26AUG0101-B62950,1785558805782,buy,0.6,-0.6
KXBTC-26AUG0101-B62950,1785558875850,sell,0.59,0.59
KXBTC-26AUG0101-B62950,1785559225839,buy,0.61,-0.61
KXBTC-26AUG0101-B62950,1785559330967,buy,0.57,-0.57
KXBTC-26AUG0101-B62950,1785559400963,buy,0.46,-0.46
KXBTC-26AUG0101-B62950,1785559610727,buy,0.44,-0.44
KXBTC-26AUG0101-B62950,1785559715804,sell,0.41,0.41
KXBTC-26AUG0101-B62950,1785559750750,buy,0.52,-0.52
KXBTC-26AUG0101-B63050,1785559436149,sell,0.49,-0.51
KXBTC-26AUG0101-B63050,1785559471150,buy,0.53,0.47
KXBTC-26AUG0101-B63050,1785559611054,sell,0.52,-0.48
KXBTC-26AUG0101-B63050,1785559716100,buy,0.54,0.45999999999999996
KXBTC-26AUG0101-B63050,1785559751044,sell,0.41,-0.5900000000000001
KXBTC-26AUG0101-B63050,1785559786010,sell,0.6,-0.4
KXBTC-26AUG0101-B63050,1785559821660,buy,0.76,0.24
KXBTC-26AUG0101-B63050,1785559856107,sell,0.73,-0.27
KXBTC-26AUG0101-B63050,1785559925919,sell,0.79,-0.20999999999999996
KXBTC-26AUG0101-B63050,1785560029968,sell,0.9,-0.09999999999999998
KXBTC-26AUG0102-B62950,1785562166090,buy,0.24,0.76
KXBTC-26AUG0102-B62950,1785562411228,buy,0.13,0.87
KXBTC-26AUG0102-B62950,1785562690283,buy,0.15,0.85
KXBTC-26AUG0102-B62950,1785562795326,sell,0.18,-0.8200000000000001
KXBTC-26AUG0102-B62950,1785562830352,buy,0.67,0.32999999999999996
KXBTC-26AUG0102-B62950,1785562865616,sell,0.66,-0.33999999999999997
KXBTC-26AUG0102-B62950,1785563040534,sell,0.72,-0.28
KXBTC-26AUG0102-B62950,1785563250009,sell,0.8,-0.19999999999999996
KXBTC-26AUG0102-B62950,1785563530022,buy,0.87,0.13
KXBTC-26AUG0102-B62950,1785563879830,sell,0.92,-0.07999999999999996
KXBTC-26AUG0102-B62950,1785563949944,sell,0.97,-0.030000000000000027
KXBTC-26AUG0102-B63050,1785560696709,sell,0.48,0.48
KXBTC-26AUG0102-B63050,1785561256695,sell,0.52,0.52
KXBTC-26AUG0102-B63050,1785561465406,buy,0.57,-0.57
KXBTC-26AUG0102-B63050,1785561500533,sell,0.51,0.51
KXBTC-26AUG0102-B63050,1785561885576,sell,0.59,0.59
KXBTC-26AUG0102-B63050,1785562165059,sell,0.64,0.64
KXBTC-26AUG0102-B63050,1785562270166,sell,0.7,0.7
KXBTC-26AUG0102-B63050,1785562305103,buy,0.71,-0.71
KXBTC-26AUG0102-B63050,1785562794726,buy,0.69,-0.69
KXBTC-26AUG0102-B63050,1785562829783,sell,0.21,0.21
KXBTC-26AUG0102-B63050,1785562865031,buy,0.26,-0.26
KXBTC-26AUG0102-B63050,1785563879692,buy,0.06,-0.06
KXBTC-26AUG0102-B63150,1785562830494,buy,0.05,-0.05
KXBTC-26AUG0103-B62950,1785565211016,buy,0.58,-0.58
KXBTC-26AUG0103-B62950,1785565245985,buy,0.54,-0.54
KXBTC-26AUG0103-B62950,1785565350821,sell,0.37,0.37
KXBTC-26AUG0103-B62950,1785565385842,buy,0.38,-0.38
KXBTC-26AUG0103-B62950,1785565525908,buy,0.38,-0.38
KXBTC-26AUG0103-B62950,1785565588272,buy,0.33,-0.33
KXBTC-26AUG0103-B62950,1785565623226,sell,0.27,0.27
KXBTC-26AUG0103-B62950,1785565798160,sell,0.33,0.33
KXBTC-26AUG0103-B62950,1785565903198,sell,0.34,0.34
KXBTC-26AUG0103-B62950,1785565973264,buy,0.44,-0.44
KXBTC-26AUG0103-B62950,1785566121862,buy,0.43,-0.43
KXBTC-26AUG0103-B62950,1785566191633,buy,0.39,-0.39
KXBTC-26AUG0103-B62950,1785566471661,buy,0.28,-0.28
KXBTC-26AUG0103-B62950,1785566506495,sell,0.26,0.26
KXBTC-26AUG0103-B62950,1785566716825,sell,0.32,0.32
KXBTC-26AUG0103-B62950,1785566752529,buy,0.46,-0.46
KXBTC-26AUG0103-B62950,1785566926397,buy,0.26,-0.26
KXBTC-26AUG0103-B63050,1785565624101,buy,0.58,0.42000000000000004
KXBTC-26AUG0103-B63050,1785565799033,buy,0.55,0.44999999999999996
KXBTC-26AUG0103-B63050,1785565834239,sell,0.54,-0.45999999999999996
KXBTC-26AUG0103-B63050,1785565904065,buy,0.53,0.47
KXBTC-26AUG0103-B63050,1785566012213,buy,0.49,0.51
KXBTC-26AUG0103-B63050,1785566227146,sell,0.5,-0.5
KXBTC-26AUG0103-B63050,1785566472267,sell,0.61,-0.39
KXBTC-26AUG0103-B63050,1785566717436,buy,0.62,0.38
KXBTC-26AUG0103-B63050,1785566753155,sell,0.45,-0.55
KXBTC-26AUG0103-B63050,1785566926881,sell,0.66,-0.33999999999999997
KXBTC-26AUG0103-B63050,1785566996804,sell,0.72,-0.28
KXBTC-26AUG0103-B63050,1785567032004,sell,0.74,-0.26
KXBTC-26AUG0103-B63050,1785567486601,sell,0.94,-0.06000000000000005
KXBTC-26AUG0104-B62950,1785568678310,sell,0.18,-0.8200000000000001
KXBTC-26AUG0104-B62950,1785568713564,sell,0.29,-0.71
KXBTC-26AUG0104-B62950,1785570007867,sell,0.35,-0.65
KXBTC-26AUG0104-B62950,1785570042548,sell,0.65,-0.35
KXBTC-26AUG0104-B62950,1785570147551,buy,0.6,0.4
KXBTC-26AUG0104-B62950,1785570182514,sell,0.57,-0.43000000000000005
KXBTC-26AUG0104-B62950,1785570427559,buy,0.66,0.33999999999999997
KXBTC-26AUG0104-B62950,1785570497501,buy,0.63,0.37
KXBTC-26AUG0104-B62950,1785570532472,sell,0.59,-0.41000000000000003
KXBTC-26AUG0104-B62950,1785570707259,buy,0.7,0.30000000000000004
KXBTC-26AUG0104-B62950,1785570847280,buy,0.64,0.36
KXBTC-26AUG0104-B62950,1785570882108,sell,0.63,-0.37
KXBTC-26AUG0104-B62950,1785570917287,buy,0.65,0.35
KXBTC-26AUG0104-B62950,1785570952090,sell,0.54,-0.45999999999999996
KXBTC-26AUG0104-B62950,1785570987126,sell,0.69,-0.31000000000000005
KXBTC-26AUG0104-B62950,1785571057171,sell,0.8,-0.19999999999999996
KXBTC-26AUG0104-B62950,1785571127015,sell,0.87,-0.13
KXBTC-26AUG0104-B63050,1785568818001,sell,0.53,0.53
KXBTC-26AUG0104-B63050,1785568887773,sell,0.56,0.56
KXBTC-26AUG0104-B63050,1785569307797,buy,0.6,-0.6
KXBTC-26AUG0104-B63050,1785569343231,sell,0.54,0.54
KXBTC-26AUG0104-B63050,1785569447527,buy,0.58,-0.58
KXBTC-26AUG0104-B63050,1785569553611,buy,0.53,-0.53
KXBTC-26AUG0104-B63050,1785569587385,buy,0.31,-0.31
KXBTC-26AUG0104-B63050,1785569622225,sell,0.27,0.27
KXBTC-26AUG0104-B63050,1785569657430,buy,0.37,-0.37
KXBTC-26AUG0104-B63050,1785569972268,sell,0.26,0.26
KXBTC-26AUG0104-B63050,1785570076648,sell,0.27,0.27
KXBTC-26AUG0104-B63050,1785570146684,sell,0.36,0.36
KXBTC-26AUG0104-B63050,1785570426737,sell,0.31,0.31
KXBTC-26AUG0104-B63050,1785570531612,buy,0.37,-0.37
KXBTC-26AUG0104-B63050,1785570706817,sell,0.27,0.27
KXBTC-26AUG0104-B63050,1785570916859,sell,0.33,0.33
KXBTC-26AUG0104-B63050,1785570951643,buy,0.41,-0.41
KXBTC-26AUG0104-B63050,1785570986680,buy,0.32,-0.32
KXBTC-26AUG0104-B63050,1785571056737,buy,0.16,-0.16
KXBTC-26AUG0104-B63050,1785571091651,sell,0.12,0.12
KXBTC-26AUG0104-B63150,1785569307493,buy,0.06,-0.06
KXBTC-26AUG0104-B63150,1785569587250,buy,0.04,-0.04
KXBTC-26AUG0105-B62950,1785574172403,buy,0.05,-0.05
KXBTC-26AUG0105-B63050,1785571933155,sell,0.63,-0.37
KXBTC-26AUG0105-B63050,1785573122201,sell,0.75,-0.25
KXBTC-26AUG0105-B63050,1785573226768,buy,0.79,0.20999999999999996
KXBTC-26AUG0105-B63050,1785573611628,sell,0.8,-0.19999999999999996
KXBTC-26AUG0105-B63050,1785573681685,sell,0.82,-0.18000000000000005
KXBTC-26AUG0105-B63050,1785573786643,sell,0.85,-0.15000000000000002
KXBTC-26AUG0105-B63050,1785574171556,sell,0.9,-0.09999999999999998
KXBTC-26AUG0105-B63050,1785574346596,buy,0.96,0.040000000000000036
KXBTC-26AUG0105-B63050,1785574381726,buy,0.94,0.06000000000000005
KXBTC-26AUG0105-B63050,1785574451706,buy,0.92,0.07999999999999996
KXBTC-26AUG0105-B63050,1785574731703,sell,0.87,-0.13
KXBTC-26AUG0105-B63050,1785574766595,sell,0.95,-0.050000000000000044
KXBTC-26AUG0105-B63150,1785574348026,sell,0.03,0.03
KXBTC-26AUG0105-B63150,1785574732913,buy,0.14,-0.14
KXBTC-26AUG0106-B62950,1785575083106,buy,0.12,-0.12
KXBTC-26AUG0106-B62950,1785575888058,sell,0.09,0.09
KXBTC-26AUG0106-B62950,1785575993223,buy,0.11,-0.11
KXBTC-26AUG0106-B62950,1785576482863,buy,0.1,-0.1
KXBTC-26AUG0106-B62950,1785577706739,sell,0.04,0.04
KXBTC-26AUG0106-B62950,1785577776809,sell,0.07,0.07
KXBTC-26AUG0106-B62950,1785577881901,buy,0.15,-0.15
KXBTC-26AUG0106-B62950,1785577951741,sell,0.09,0.09
KXBTC-26AUG0106-B62950,1785578091782,sell,0.26,0.26
KXBTC-26AUG0106-B62950,1785578161854,buy,0.45,-0.45
KXBTC-26AUG0106-B62950,1785578231719,buy,0.39,-0.39
KXBTC-26AUG0106-B62950,1785578301739,buy,0.08,-0.08
KXBTC-26AUG0106-B62950,1785578336669,sell,0.06,0.06
KXBTC-26AUG0106-B62950,1785578371791,buy,0.36,-0.36
KXBTC-26AUG0106-B63050,1785576658098,sell,0.76,-0.24
KXBTC-26AUG0106-B63050,1785577006804,sell,0.8,-0.19999999999999996
KXBTC-26AUG0106-B63050,1785577076913,sell,0.82,-0.18000000000000005
KXBTC-26AUG0106-B63050,1785577252120,sell,0.85,-0.15000000000000002
KXBTC-26AUG0106-B63050,1785577776952,buy,0.92,0.07999999999999996
